product_name,L,a,b,rus_color_name
FreeFarm H,69.17554054862917,-3.7865321284395645,9.851867107176359,Серый Оливковый
Антибактер 2,70.18401146540808,-2.949671493794508,4.50614505188413,Серебряная чаша
БиоОмега-3,74.3887077413215,-4.6420618586469065,8.648771016846602,Орел
Бутиплюс,72.84483510213717,-3.8948102914592715,2.261495584904383,Серебряная фольга
ГИДРОИОНИТ,72.34266358371325,-3.7897738146233553,1.5365547390250296,Семена хлопка
ДИАПРОТЕКТ,66.81533601838487,-0.37489790673935763,8.84526642789242,Серебряная фольга
КАРБОМИЛК ДРАЙ ПЛЮС,72.07839483613728,-3.7324251080174258,12.154103817146712,Серо-коричневый
КАРБОМИЛК ЛАКТО ПРО,70.97808595515204,-3.8012460603679283,8.458106904462591,Лимонная трава
КЕТОМИЛК ЭНЕРДЖИ ДРЕНЧ,70.4004834906872,-4.165170058698598,7.203636069611807,Бутон
КЛИМ,71.95760288575812,-3.6076974869727976,0.8561976809982571,Темно-серый
КЛИМ ПИГ,73.84407320850589,-8.28647507839303,4.116825828989719,Летний зеленый
КЛИМ Термо,71.79085624596394,-3.1976121456383457,1.4741676607164098,Серебряная фольга
Кетомилк энерджи,72.7663211260537,-4.6900415945411815,7.825694340299042,Серебряная фольга
Лаурэкс-М,72.05738219972196,-3.9699279272208066,0.9901049877880349,Серебряная фольга
Липид Форте,71.2042600581664,-3.8976033317479692,9.894564222717408,Орел
МаксФид А 02,71.29833484426415,-3.683206289568775,3.554610701974139,Серебряная фольга
МаксФид Т01,67.70866716010066,-2.775305983142322,15.285378868641457,Серо-коричневый
МиоСорб,70.26134449340987,-3.207292594806764,12.064749048944927,Серо-коричневый
МиоСорб Макс,64.14559027726767,-3.2914182376344288,16.268998959057814,Меланжевый серый
Нео-Липид,71.42811185209024,-5.014619452985212,14.7306731002443,Меланжевый серый
ОптиГран Драй,71.68868414698362,-3.7222681959538275,3.4623409364253264,Филиппинское серебро
Пробитокс,66.32331193629699,-3.0252092650530686,8.399575246891827,Железо
Пробитокс АВ,69.72259775923143,-2.4008038445198006,10.038295541357538,Облачно
Пробитокс супер,69.58814351524036,-1.8662948100797254,10.049753406389165,Облачно
Пурмикс,72.41561459459689,-4.114883988009019,1.9614749291722697,Серебряная фольга
РЕГЕПАТОКСИН,72.3506227964451,-3.35814991390956,9.0601512790893,Бутон
РумиНорм,70.83600785493562,-4.245458303253949,13.63849046884097,Серо-коричневый
СабКонтрол,70.50840749154946,-2.6962077906227777,5.192211529555149,Темно-серый
СабКонтрол Плюс,71.29006263218761,-2.8856977079670942,2.4474992550381547,Серебряная чаша
Сальмоцил F,70.71669824492194,-3.182527846900326,4.344987885448311,Серебряная фольга
Сальмоцил FH,68.70796946203606,-1.7790330924746616,3.822665473400718,Дельта
Сальмоцил FM,71.42822583323736,-3.850865922049849,4.564858562680436,Серебряная чаша
Сальмоцил PH,70.50055292583032,-2.576246338979238,8.931327872656428,Орел
СанЛайн,71.17638515079265,-1.5914932318317616,10.091787027063297,Розовый лебедь
СанЛайн +,70.11127706387147,-3.0597626090490246,15.342349442778847,Серо-коричневый
СубтиТокс,66.47592618308416,-2.5913384834488165,11.700527179901835,Серый Оливковый
ФриФарм Форте,69.74746260529733,-2.276194621197991,10.166857208339852,Серо-коричневый
Хроматрикс,70.39832413486336,-5.385667531484273,5.182155645894726,Бутон
Хроматрикс-Н,70.36889875717283,-3.550843566042051,6.6219543362183995,Серебряная фольга
Экофит,71.66907328870825,-3.793130892156193,4.545549875426538,Серебряная фольга
Этоксол,70.59540185884744,-3.534379922319028,7.689900467876185,Серебряная фольга
Этоксол AN,70.49900765627082,-3.4387384595632304,3.4833477610320642,Серебряная фольга
